athlete_id,name,gender,height_cm,date_of_birth,final_time_sec,pb_50m_seconds,l1_reaction_time,l1_breakout_distance,l1_breakout_time,l1_stroke_count,l1_total_time,l2_breakout_distance,l2_breakout_time,l2_stroke_count,l2_total_time,l1_split_25m,l2_split_25m,race_date
1,Pan Zhanle,male,190,2004-08-04,46.4,21.92,0.62,13.2,4,30,22.28,8,3,34,24.12,9.9,11.3,2024-07-31
2,David Popovici,male,191,2004-09-15,46.51,21.82,0.64,14,4.4,29,22.49,8,3,35,24.02,9.8,11.1,2025-07-31
3,Egor Kornev,male,195,2004-02-06,46.74,21.06,0.61,14,4.3,27,22.06,9,3.7,31,24.68,9.4,11.2,2026-08-12
4,Jack Alexy,male,203,2003-01-19,46.81,21.32,0.68,13.4,4.1,26,22.45,8,3,32,24.36,9.7,11.3,2025-07-30
5,Kristof Milak,male,190,2000-02-20,46.87,21.46,0.67,15,5,28,22.41,11,4.4,33,24.46,9.6,11.2,2026-08-12
6,Cesar Cielo,male,195,1987-01-10,46.91,20.91,0.66,11,3.2,30,22.17,7.5,2.8,34,24.74,9.7,11.1,2009-07-30
7,Alain Bernard,male,196,1983-05-01,46.94,21.23,0.62,10.8,3.6,32,22.35,5.7,1.7,40,24.59,9.7,11.4,2009-04-23
8,Caeleb Dressel,male,188,1996-08-16,46.96,21.04,0.61,14.5,4.5,29,22.29,10,3.9,35,24.67,9.5,11.5,2019-07-25
9,Cameron Mcevoy,male,185,1994-05-13,47.04,21.44,0.67,13.2,3.7,32,22.54,8.5,3.7,38,24.5,9.8,11.3,2016-04-11
10,Eamon Sullivan,male,189,1985-08-30,47.05,21.28,0.65,12.2,3.1,32,22.44,7,2,39,24.61,9.7,11.4,2008-08-13
11,Kyle Chalmers,male,193,1998-06-25,47.08,22.07,0.71,13.6,4.3,30,22.79,8.5,3.3,35,24.29,10.2,11.5,2019-07-25
12,Flynn Southam,male,188,2005-06-05,47.09,21.44,0.65,13.4,3.8,29,22.56,7.8,2.8,34,24.53,10,11.4,2026-07-24
13,James Magnussen,male,198,1991-04-11,47.1,21.52,0.68,12.3,3.2,28,22.68,6.7,2,36,24.42,9.8,11.4,2012-03-19
14,Guilherme Caribe,male,185,2003-03-01,47.1,21.46,0.61,14.7,4.7,28,22.23,9.3,4,34,24.87,9.7,11.2,2025-04-23
15,Kliment Kolesnikov,male,196,2000-07-09,47.11,21.89,0.64,14.7,4.8,29,22.52,9.4,4,35,24.59,9.8,11.3,2021-07-28
16,Chris Guilliano,male,196,2003-06-25,47.16,21.43,0.68,14,4.4,30,22.58,8.5,3.4,35,24.58,10,11.5,2026-08-13
17,Fredrick Bousquet,male,188,1981-04-08,47.25,20.94,0.71,10.5,3.5,33,22.14,7.5,2.7,38,25.11,9.6,11.6,2009-07-30
18,Brent Hayden,male,196,1983-10-21,47.27,21.73,0.74,10.2,3.3,35,22.43,7.5,2.7,40,24.84,9.8,11.4,2009-07-30
19,Maxime Grousset,male,190,1999-04-24,47.33,21.51,0.64,14.5,4.6,28,22.64,11,4.4,34,24.69,9.6,11.3,2024-06-18
20,David Walters,male,191,1987-09-27,47.33,22.6,0.74,10,3.2,30,22.78,7.2,2.2,37,24.55,10.3,11.5,2009-07-30
21,Marrit Steenbergen,female,178,2000-01-11,51.68,24.09,0.72,13.5,5.5,30,24.98,10.5,4.5,37,26.7,10.5,12.4,2026-06-27
22,Kate Douglass,female,178,2001-11-17,51.69,23.19,0.71,14.9,5.7,30,24.78,9.4,4.3,36,26.91,10.9,12.4,2026-08-14
